Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,UNSD Geographical Grouping
Incident,2018,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,1,0,Violence,,Eastern Africa
Incident,2018,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,Eastern Africa
Incident,2018,August,Central America,North America,Guatemala,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,August,Sub-Saharan Africa (P),Mediterranean,Unknown,1.0,1,2,66,0,1,0,Drowning,Western Mediterranean,Uncategorized
Incident,2018,August,Northern Africa,Mediterranean,Morocco,1.0,10,11,3,0,5,1,Drowning,Western Mediterranean,Uncategorized
Incident,2018,August,Western Africa,South America,Nigeria,1.0,0,1,0,1,0,1,"Harsh environmental conditions / lack of adequate shelter, food, water",,South America
Split Incident,2018,August,Western Africa,Western Africa,"Gambia,Senegal",6.0,1,7,79,0,0,0,Drowning,Western Africa / Atlantic route to the Canary Islands,Western Africa
Incident,2018,August,Unknown,Northern Africa,Unknown,2.0,0,2,0,0,2,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2018,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Northern Africa
Incident,2018,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,1,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,August,Western Africa,Northern Africa,Mali,2.0,0,2,0,0,2,1,Vehicle accident / death linked to hazardous transport,,Northern Africa
Incident,2018,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Northern Africa
Incident,2018,August,Unknown,South-eastern Asia,Unknown,1.0,0,1,0,0,1,1,Mixed or unknown,,South-eastern Asia
Incident,2018,August,Western Asia,Western Asia,Syrian Arab Republic,1.0,0,1,0,0,1,0,Violence,Syria to Türkiye,Western Asia
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,August,Western Asia,Europe,Syrian Arab Republic,2.0,0,2,10,0,2,0,Accidental death,Western Balkans,Southern Europe
Incident,2018,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Northern Africa
Incident,2018,August,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,2,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,August,Unknown,South-eastern Asia,Unknown,8.0,0,8,0,1,1,0,Mixed or unknown,,South-eastern Asia
Incident,2018,August,Sub-Saharan Africa (P),Western Africa,Unknown,3.0,0,3,0,0,0,0,Vehicle accident / death linked to hazardous transport,,Western Africa
Incident,2018,August,South America,South America,Venezuela (Bolivarian Republic of),4.0,0,4,19,1,3,0,Vehicle accident / death linked to hazardous transport,,South America
Incident,2018,August,Sub-Saharan Africa (P),Mediterranean,Unknown,,37,37,0,7,30,2,Drowning,Western Mediterranean,Uncategorized
Incident,2018,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Northern Africa
Incident,2018,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,,Eastern Africa
Incident,2018,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,US-Mexico border crossing,Northern America
Incident,2018,August,Caribbean,Caribbean,Dominican Republic,,3,3,24,0,3,0,Drowning,Dominican Republic to Puerto Rico,Caribbean
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,August,Central America,Central America,Honduras,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Central America
Incident,2018,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Northern Africa
Incident,2018,August,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,0,1,1,Mixed or unknown,Sahara Desert crossing,Northern Africa
Cumulative Incident,2018,August,Central America,Central America,Unknown,3.0,0,3,0,0,0,0,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2018,August,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Central America
Incident,2018,August,Unknown,South-eastern Asia,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,South-eastern Asia
Incident,2018,August,Unknown,Northern Africa,Unknown,4.0,0,4,0,1,1,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Split Incident,2018,August,Northern Africa,Mediterranean,"Cameroon,Côte d'Ivoire,Democratic Republic of the Congo,Tunisia",8.0,0,8,14,0,8,0,Drowning,Central Mediterranean,Uncategorized
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Drowning,US-Mexico border crossing,Northern America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Drowning,US-Mexico border crossing,Northern America
Incident,2018,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,1,0,Violence,,Eastern Africa
Incident,2018,August,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,1,1,1,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,August,Sub-Saharan Africa (P),Western Africa,Unknown,1.0,0,1,0,1,0,0,Mixed or unknown,,Western Africa
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,August,Southern Asia,Europe,Viet Nam,,1,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,August,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Central America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,2.0,0,2,0,0,0,0,Drowning,US-Mexico border crossing,Northern America
Incident,2018,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Northern America
Incident,2018,August,Eastern Africa (P),Eastern Africa,Unknown,2.0,0,2,0,0,2,0,Violence,,Eastern Africa
Incident,2018,August,Sub-Saharan Africa (P),Western Africa,Unknown,1.0,0,1,0,0,1,1,Mixed or unknown,,Western Africa
Incident,2018,August,Northern Africa,Mediterranean,Tunisia,7.0,2,9,1,0,1,0,Drowning,Central Mediterranean,Uncategorized
Incident,2018,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2018,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,Eastern Africa
Incident,2018,August,Sub-Saharan Africa (P),Western Africa,Unknown,1.0,0,1,0,0,1,1,Mixed or unknown,,Western Africa
Incident,2018,August,Sub-Saharan Africa (P),Western Africa,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,Sahara Desert crossing,Western Africa
Incident,2018,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Drowning,US-Mexico border crossing,Northern America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,1,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,August,Sub-Saharan Africa (P),Western Africa,Unknown,2.0,0,2,0,1,1,1,Mixed or unknown,,Western Africa
Incident,2018,August,Unknown,Mediterranean,Unknown,2.0,0,2,100,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2018,August,Unknown,Northern Africa,Unknown,2.0,0,2,0,0,2,1,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,August,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,August,Unknown,South-eastern Asia,Unknown,2.0,0,2,0,0,2,2,Mixed or unknown,,South-eastern Asia
Incident,2018,August,Unknown,Southern Asia,Unknown,3.0,0,3,0,0,3,0,Mixed or unknown,,Southern Asia
Incident,2018,August,Unknown,South-eastern Asia,Unknown,1.0,0,1,0,0,1,1,"Harsh environmental conditions / lack of adequate shelter, food, water",,South-eastern Asia
Incident,2018,August,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,1,0,0,Drowning,US-Mexico border crossing,Central America
Incident,2018,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Northern Africa
Incident,2018,August,Eastern Africa (P),Northern Africa,Unknown,4.0,0,4,0,2,1,1,Violence,,Northern Africa
Incident,2018,August,Eastern Africa (P),Eastern Africa,Unknown,2.0,0,2,0,0,2,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Eastern Africa
Incident,2018,August,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,2,0,1,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,August,Sub-Saharan Africa (P),Western Africa,Unknown,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,Western Africa
Incident,2018,August,Sub-Saharan Africa (P),Mediterranean,Unknown,1.0,1,2,0,0,1,0,Drowning,Western Mediterranean,Uncategorized
Incident,2018,August,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Central America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,August,Unknown,Northern Africa,Unknown,2.0,0,2,0,2,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,August,Central America,Central America,Guatemala,2.0,0,2,5,1,1,1,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2018,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,August,Unknown,Northern Africa,Unknown,2.0,0,2,0,1,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Northern Africa
Incident,2018,August,Unknown,Northern Africa,Unknown,1.0,0,1,0,1,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,August,Western Asia,Western Asia,Syrian Arab Republic,2.0,0,2,0,1,0,1,Violence,Syria to Türkiye,Western Asia
Incident,2018,August,Central America,Central America,Honduras,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,August,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2018,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Eastern Africa
Cumulative Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,2.0,0,2,0,0,2,0,Drowning,US-Mexico border crossing,Northern America
Incident,2018,August,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,1,0,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2018,August,Eastern Africa (P),Eastern Africa,Unknown,2.0,0,2,0,0,2,0,Violence,,Eastern Africa
Split Incident,2018,August,Eastern Africa,Western Asia,"Ethiopia,Somalia",33.0,0,33,326,11,22,0,Drowning,Horn of Africa to Yemen crossing,Uncategorized
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Split Incident,2018,August,Unknown,Mediterranean,"Mali,Unknown",13.0,39,52,0,6,0,0,Drowning,Western Mediterranean,Uncategorized
Incident,2018,August,Eastern Africa (P),Eastern Africa,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Eastern Africa
Incident,2018,August,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2018,August,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Northern America
Incident,2018,August,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Drowning,US-Mexico border crossing,Northern America
Incident,2018,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,September,Southern Asia,South-eastern Asia,Myanmar,1.0,0,1,47,0,1,0,Vehicle accident / death linked to hazardous transport,,South-eastern Asia
Incident,2018,September,Mixed,Mediterranean,Unknown,2.0,128,130,55,1,1,20,Drowning,Central Mediterranean,Uncategorized
Incident,2018,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,September,Sub-Saharan Africa (P),Western Africa,Unknown,3.0,0,3,0,1,1,0,Vehicle accident / death linked to hazardous transport,,Western Africa
Incident,2018,September,Unknown,Mediterranean,Unknown,,5,5,30,0,0,0,Drowning,Western Mediterranean,Uncategorized
Incident,2018,September,Unknown,Mediterranean,Unknown,,61,61,0,1,1,0,Drowning,Western Mediterranean,Uncategorized
Incident,2018,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,September,Unknown,Mediterranean,Unknown,5.0,0,5,53,1,4,0,Drowning,Western Mediterranean,Uncategorized
Incident,2018,September,Unknown,Mediterranean,Unknown,,6,6,52,0,0,0,Drowning,Western Mediterranean,Uncategorized
Incident,2018,September,Eastern Africa (P),Eastern Africa,Unknown,15.0,0,15,0,0,15,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Eastern Africa
Incident,2018,September,Eastern Africa (P),Northern Africa,Unknown,1.0,0,1,0,0,1,0,Violence,Sahara Desert crossing,Northern Africa
Incident,2018,September,Latin America / Caribbean (P),Central America,Unknown,1.0,0,1,300,0,0,0,Mixed or unknown,,Central America
Incident,2018,September,Western Asia,Western Asia,Syrian Arab Republic,1.0,0,1,0,0,1,0,Violence,Syria to Türkiye,Western Asia
Incident,2018,September,Unknown,Northern Africa,Unknown,2.0,0,2,0,1,1,1,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,September,Unknown,Northern Africa,Unknown,2.0,0,2,0,2,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,September,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Northern Africa
Incident,2018,September,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Northern Africa
Incident,2018,September,Latin America / Caribbean (P),Central America,Unknown,2.0,0,2,0,0,0,0,Violence,,Central America
Incident,2018,September,Central America,Central America,El Salvador,1.0,0,1,0,0,1,0,Violence,,Central America
Incident,2018,September,Southern Asia,Europe,Afghanistan,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2018,September,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,2,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,September,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,0,2,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2018,September,Unknown,South-eastern Asia,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,South-eastern Asia
Incident,2018,September,Sub-Saharan Africa (P),Middle Africa,Unknown,6.0,0,6,0,0,1,1,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Middle Africa
Incident,2018,September,Central America,North America,Guatemala,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,September,Sub-Saharan Africa (P),Mediterranean,Unknown,6.0,0,6,0,0,3,3,Drowning,Western Mediterranean,Uncategorized
Incident,2018,September,Sub-Saharan Africa (P),Western Africa,Unknown,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,Western Africa
Incident,2018,September,Sub-Saharan Africa (P),Western Africa,Unknown,2.0,0,2,0,0,0,2,Vehicle accident / death linked to hazardous transport,,Western Africa
Incident,2018,September,Unknown,Northern Africa,Unknown,1.0,0,1,0,1,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,September,Unknown,Northern Africa,Unknown,2.0,0,2,0,0,2,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,Northern Africa
Incident,2018,September,Central America,North America,Guatemala,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2018,September,Unknown,Mediterranean,Unknown,1.0,0,1,0,0,1,0,Drowning,Western Mediterranean,Uncategorized
Incident,2018,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,September,Eastern Africa (P),Northern Africa,Unknown,2.0,0,2,0,0,1,1,Violence,Sahara Desert crossing,Northern Africa
Incident,2018,September,Unknown,South-eastern Asia,Unknown,1.0,0,1,0,0,0,1,Violence,,South-eastern Asia
Incident,2018,September,Unknown,South-eastern Asia,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,,South-eastern Asia
Incident,2018,September,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,1,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2018,September,Eastern Africa,Europe,Eritrea,1.0,0,1,0,0,1,0,Violence,English Channel to the UK,Western Europe
Incident,2018,September,Sub-Saharan Africa (P),Western Africa,Unknown,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Western Africa
Incident,2018,September,Unknown,Northern Africa,Unknown,1.0,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Northern Africa
Incident,2018,September,Unknown,Northern Africa,Unknown,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Northern Africa
Incident,2018,September,Unknown,Western Africa,Unknown,1.0,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,Western Africa
Incident,2018,September,Unknown,Northern Africa,Unknown,1.0,0,1,0,1,0,0,Mixed or unknown,Sahara Desert crossing,Northern Africa
Incident,2018,September,Western Asia,Western Asia,Syrian Arab Republic,2.0,0,2,0,0,0,2,Violence,Syria to Türkiye,Western Asia
Incident,2018,September,Northern Africa,Mediterranean,Morocco,1.0,0,1,0,0,0,1,Drowning,Western Mediterranean,Uncategorized
